sound,label
[-13 -13 -19 ... -29 -18  -3],0
[  8   7  27 ... -79 -83 -72],2
[  57   79  -62 ...  -81  -43 -106],4
[  1   3   2 ... -10  -8  -6],1
[ 66 139 147 ... -42 111 162],9
[   0  256  256 ... -512 -512 -512],0
[-256 -256 -256 ... -256 -256 -512],6
[ 919 -115  781 ...  327  224  973],7
[-81 -72 -41 ...   3  12   0],1
[-25 -17 -14 ...  11  -3   1],1
[-256 -512 -256 ...    0    0 -256],4
[-581 -170  382 ...  292  308  301],4
[-512 -768 -512 ... -512 -256 -512],5
[-256 -512 -256 ... -256 -256 -256],6
[  2 -13  -5 ... -41 -37 -17],8
[  6   0  -3 ... -11  -2 -20],9
[ 387  393  364 ...  110 -168  351],8
[347 351 462 ... 365 338 302],0
[  1   3   4 ... -14  -1 -15],7
[  1 -10   0 ...  39  30  33],1
[-512 -768 -512 ... -256 -256 -256],8
[-256    0    0 ... -256    0 -256],0
[-11 -23 -18 ...  -7  -4  -2],1
[  90   29    7 ... -265 -184  -60],8
[ 7 15  5 ... 28 24 22],2
[  1  -1   0 ... -19   2  11],8
[-20  31 -24 ...  -3   0  -6],7
[ 0 -2 -1 ... -3  1 -5],3
[ 159  -90  113 ...  -44  -39 -162],6
[-152 -149 -164 ...  119  137  164],9
[-1244  -911 -1301 ...    57    44    97],9
[  6   8  11 ...  -2 -12 -16],0
[-182 -129   98 ...   86   59   19],3
[ -1  -3 -39 ...   2   8   9],3
[66 17 -8 ... -2 36 41],5
[ 37  53  69 ... 147 100 121],0
[  3   3   4 ... -13 -18  -5],2
[ -9 -46 -10 ... -74  77 -19],6
[ 512  256  256 ... -512 -256 -256],6
[-256    0    0 ...    0    0 -256],5
[-1  7  2 ...  7 15  4],3
[-16  19 -31 ... -13  11  16],4
[ 9  9 -7 ...  1 -7 19],8
[-222 -226 -247 ... -162 -186 -171],0
[-256 -256 -256 ... -256    0 -256],7
[  2  -3   3 ... -10  -4  -9],2
[-256 -256 -256 ... -512 -256 -512],7
[ 355  122  168 ... -311 -315 -315],7
[-256 -512 -256 ... -256 -256 -256],8
[-256 -256    0 ... -512 -256 -256],5
[-25 -35  20 ... -29 -29 -16],0
[321 336 336 ... 354 329 305],1
[-10   2   4 ... -17 -23 -16],4
[-256    0 -256 ... -256 -256 -256],1
[-2 -7 -7 ...  3 -1  0],6
[ -8  -9 -18 ...  -5   4   4],0
[-13  10   5 ...   9  16  11],4
